SourceId,TargetId,Comment
T:System.Diagnostics.Contracts.Contract,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractAbbreviatorAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractArgumentValidatorAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractClassAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractClassForAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractFailedEventArgs,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractFailureKind,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractInvariantMethodAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractOptionAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractPublicPropertyNameAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractReferenceAssemblyAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractRuntimeIgnoredAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractVerificationAttribute,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.PureAttribute,A:System.Diagnostics.Contracts,Public
T:System.Runtime.CompilerServices.ContractHelper,A:System.Diagnostics.Contracts,Public
T:System.Diagnostics.Contracts.ContractException,A:System.Diagnostics.Contracts,Implementation
T:System.Diagnostics.Debug,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.Debugger,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerBrowsableAttribute,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerBrowsableState,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerDisplayAttribute,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerHiddenAttribute,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerNonUserCodeAttribute,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerStepThroughAttribute,A:System.Diagnostics.Debug,Public
T:System.Diagnostics.DebuggerTypeProxyAttribute,A:System.Diagnostics.Debug,Public
T:System.CodeDom.Compiler.GeneratedCodeAttribute,A:System.Diagnostics.Tools,Public
